text,assistant
"Yeah, I was just in there, just before having dinner. I was just wondering whether my daughter had left something on our table. Am I able to speak to the young girls there?","Yeah, sure you can. Hang on the line. I'll transfer you to the front desk. May I have your name, by the way?"
"Yeah, it's [PERSON_NAME].","[PERSON_NAME]. Okay, [PERSON_NAME]. Stay online. Transferring you now."
"[PHONE_NUMBER]","Okay, just a moment. Can I have a name?"
"[PERSON_NAME] [PERSON_NAME].","With an [PERSON_NAME]. [PERSON_NAME]."
"Yes.","Okay, just a moment. Can I have your address?"
"[LOCATION] [LOCATION] [LOCATION].","Can you spell it for me?"
"[LOCATION] [LOCATION], [LOCATION].","Got it. All right, what would you like to order?"
"Can I get the chicken barbecue? But I don't want the barbecue sauce.","Okay, just a moment. Can you just give me a moment? Quick moment? Yes, thank you so much."
"It.","My system just froze. Just a moment. All right. Yeah, go on, please. What would you like to put up?"
"Yeah, the barbecue chicken. One without the barbecue sauce.","Okay. Without the barbecue sauce? Yes."
"Without what size? Large.","Okay, all right."
"And can I order a small Aussie?","Okay, just a moment. All right, what else?"
"A small Aussie.","Yes, what else?"
"And a serving of spaghetti bolognese.","Okay, what serving? There's an entree and there's Main."
"Main.","Okay, what else?"
"And a thing of garlic bread.","Okay, that's a lot."
"Thanks.","All right, let me repeat your order for you. So you have a [ITEM_SIZE] chicken barbecue with no [ITEM_INGREDIENT]. Then you have a [ITEM_SIZE] Aussie, a main serving of spaghetti bolognese and a garlic bread. Correct?"
"Yeah, I need a price.","Yeah, that would be 64, 90. Would you like to pay by card or cash? Cash on delivery, right?"
"Yes.","All right. It will be delivered to you in 60 minutes. Okay. Like an hour."
"Do I need to make a booking for about eight people?","I'll transfer your call to management who deal with bookings, and they can book that for you."
"We were coming down for tea Tuesday night at about 5:30. Do I need to make a booking for eight people?","Yeah, sure. I can do that for you."
"Or can we just arrive?","You can just arrive if you want. I can take in your booking as well. That's not a problem."
"I think we'll just arrive, because I'm not sure if it's going to be eight or ten people.","Okay. Yeah, you can just walk in. We are open from 4:00."
"[PHONE_NUMBER] thank you.","Is that for [PERSON_NAME]?"
"Yeah. It can go under the name of [PERSON_NAME] [PERSON_NAME].","[PERSON_NAME] Keep court [LOCATION]."
"Yes, please.","Thank you. And what time did you want it delivered by?"
"630, please.","630? Let me just change the time for you. Could I have your order, please?"
"One large garlic and cheese thin pizza.","Sorry, did you say thin base?"
"Yes, please. Another large thin, half spinach. And is it bocconcini and half pepperoni.","Okay, is that the hot pepperoni or the classic pepperoni?"
"Maybe just classic, I'm not sure.","That's fine. Anything else?"
"One medium pizza, half Mexican and half buffalo chicken.","Okay. Is that on a thin base as well?"
"No, just normal.","Normal base. Okay. Anything else?"
"One small Aussie normal base, one small barbecue chicken normal base, one small town special normal base and one small thin. Sorry. Pepperoni, hot. And can I add anchovies to that, too, please?","All right, so that's a [ITEM_SIZE] hot pepperoni on a thin base. And you'd like to add anchovies?"
"Yes, please.","Thank you. Anything else?"
"No. Would you mind reading it back to me, please?","Of course. That's fine. You've got a [ITEM_SIZE] garlic pizza on a thin base. You've got a [ITEM_SIZE] half pepperoni, half spinach and bocconcini on a thin base, a [ITEM_SIZE] half Mexicana, half buffalo chicken, a [ITEM_SIZE] Aussie, a [ITEM_SIZE] chicken barbecue, a [ITEM_SIZE] town special, a [ITEM_SIZE] hot pepperoni with anchovies, also on a thin base."
"Oh, that's good. Thank you. Perfect.","You're very welcome. It's $130. Would you like to pay by cash or card?"
"I'll pay now by card. Is that okay?","Yeah, that's perfectly fine. I'll just take some details if I can."
"I've just got to get my card. One moment.","Wait."
"Okay, you're right to go.","Yeah. The card number, please?"
"[CREDIT_CARD_NUMBER].","And the expiry date, please?"
"[CREDIT_CARD_EXPIRATION].","And the CVV, please?"
"[CREDIT_CARD_CVV], [CREDIT_CARD_CVV].","Thank you. Just bear with me while the payment is processing. Thank you."
"Thank you.","Okay, it's a Mastercard, so they should be sending you an OTP code via SMS. If you could just pass that code on to me, please."
"Okay, one moment. Hang on.","Thank you."
"I've never actually used this card this way before, so that is perfect.","It should be delivered to you in an hour's time."
"630? Yeah.","Only 630. That's right. Sorry. I did change your time. 630."
"Thanks heaps.","You're very welcome. Bye. Bye."
"Yeah, if I can change the country special to half Aussie's half country special, that'd be great.","Sure, I'm going to transfer your call to the front desk since I don't have the option of editing this. I'll try to transfer you now, and if the call doesn't get through, I'll call them and let them know about the change to half [ITEM_NAME], half [ITEM_NAME]."
"Hi, town and country. [PERSON_NAME] speaking. Hi, my name's [PERSON_NAME]. I just ordered a couple of large pizzas and I've got a couple of protests on the flavors I picked. Are they already being made or can I change the country special to half country special, half Aussie?","No, we can definitely do that. I just need to check on the status of your order. Give me 2 seconds."
"It's the second pizza half country special and half what was the other Aussie would be great if not so good.","That's all right. I've confirmed that we can change your order to a [ITEM_SIZE] half [ITEM_NAME] and half [ITEM_NAME]."
"[PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Okay."
"[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you."
"For [PERSON_NAME]. Yeah, thank you. And what's the address you'd like it delivered to?","[LOCATION] [LOCATION] [LOCATION]. So that's Number [LOCATION] [LOCATION] [LOCATION]. [LOCATION] [LOCATION]."
"Yeah. [LOCATION] [LOCATION] in total.","Okay, thank you. What would you like?"
"Can I have a half Aussie?","Is that a [ITEM_SIZE]?"
"How many slices are in a large?","Let's just check for you. We've got eight slices."
"Does it go small, medium and large? Is that how it goes?","Yes, we've got [ITEM_SIZE], [ITEM_SIZE], [ITEM_SIZE], family and king."
"Oh, yeah. Large.","Half Aussie."
"Pardon?","Sorry? You said half Aussie."
"Yeah, half Aussie and half town and country, I think it is. It's got hot salami and pineapple on that. Is that the one?","Okay, that's the country special."
"Country special, yeah.","Anything else?"
"Thin and crispy.","Okay. You'd like it on a thin base. Okay. Would you like it cooked well done?"
"Yes, please.","Anything else?"
"No, that's all, thanks. So do I have to pay by credit card?","Yeah, if you'd like to pay by credit card, you can do it with me on call. If it's with cash, then you can do it with the driver. But unfortunately it's only 29 at the moment and minimum for delivery is 30. Would you like to add anything to that to bring it up to 30?"
"Well, you won't have anything for one dollar.","You can add an add-on like extra [ITEM_INGREDIENT] perhaps?"
"No, I don't like extra cheese. Have you got like, what's it called? A lemon meringue pie?","Yes. Let me just check for you. We've got coke, Coke, no sugar. Lift. Genoto sparkling water and sprite."
"Does Sprite come in a bottle or a can?","1.25 liter bottle."
"Yeah.","Would you like to add any toppings, like pineapple or anything extra?"
"Yeah. Okay, put extra pineapple.","All right, let me just do that for you."
"And I'll have to pay by credit card.","Okay, perfect. That's $30 and I'll take some details off you. If I could start with the card number, please."
"How long will that be roughly, do you know?","It'll be 45 minutes, hopefully."
"[CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER].","Okay."
"[CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER].","Thank you. The expiry date, please."
"[CREDIT_CARD_EXPIRATION] [CREDIT_CARD_EXPIRATION] [CREDIT_CARD_EXPIRATION].","Thank you. The CVV, please."
"[CREDIT_CARD_CVV] [CREDIT_CARD_CVV] [CREDIT_CARD_CVV].","Thank you. If you just bear with me, please, while the payment is processing. Thank you."
"You.","Perfect. That's done. $30, and it should be with you in 45 minutes."
"It's for [PERSON_NAME] [PERSON_NAME].","Okay, so you'd like to cancel the order then, with us?"
"Yeah, and if you could transfer it over to us.","Okay, let me just transfer your call to the store and they can directly have a word with you. Is that okay?"
"Yeah, that's fine. Thank you. Town and Country. How can I help you?","Hi, this is [PERSON_NAME] from town and country in [LOCATION] [LOCATION]. I've just got a lady that's rung up and she's accidentally placed an order for your store, but she wants it to be transferred over to our store. Could you transfer her order?"
"Yeah, what was the name for her order?","It was [PERSON_NAME] [PERSON_NAME]."
"Sorry, could you spell that one for me?","[PERSON_NAME]."
"Said a family king and medium gluten free.","Yeah, and if you could transfer it to our store, please."
"Yeah, it. That one's just transferred.","No worries. Thank you."
"630.","No worries. Name, please?"
"[PERSON_NAME]. Yes.","And can I grab a phone number?"
"[PHONE_NUMBER]. And we'd like to have it outside. Thanks.","And did you want to sit inside or outside?"
"Outside would be great, thanks.","Outside. No worries. So, three people at 630 on Saturday under [PERSON_NAME]. Outside."
"Yep. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","[PHONE_NUMBER] thank you. And the name, please?"
"Yep. [PERSON_NAME] it.","[PERSON_NAME]."
"Yes.","Thank you. And the address? You'd like it delivered, please."
"Yes. [LOCATION] [LOCATION]. [LOCATION]. [LOCATION]. [LOCATION]. [LOCATION].","[LOCATION]. [LOCATION] [LOCATION] [LOCATION]. And what would you like?"
"Do I get one small half Mexicana and half pumpkin.","Okay. The smallest size we do in half and half is [ITEM_SIZE]. I'm afraid we don't do a small."
"Yeah, I'll have medium, half Mexicana and half pumpkin.","Okay."
"And I'll get another small half Hawaiian and half. Sorry. Another medium half Hawaiian and half Aussie, please.","And half Aussie. Would you like anything else?"
"No, that's a lot. Thanks.","Okay, you've got a [ITEM_SIZE] half Mexicana, half pumpkin and a [ITEM_SIZE] half Aussie and half Hawaiian."
"That's it.","Okay. That's $45. Would you like to pay by cash or card?"
"I'll pay by cash.","Cash. So it's $45 and it should be delivered to you in an hour's time."
"Okay. This is at [LOCATION] [LOCATION], isn't it?","It is. We don't handle the bookings, so I'll just transfer your call."
"Thank you.","Okay, thank you."
"Hello. Could we book a table for tomorrow night at 05:00?","Yeah, of course. How many people is it for?"
"Six people.","Alright."
"We're going to a 06:00 movie.","That's okay, no worries. May I have the name for the booking?"
"[PERSON_NAME]. [PERSON_NAME]. Yeah.","And the phone number, please?"
"[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Perfect. Would you like to be seated inside?"
"Yes, please.","No worries. So I have booked a table for you tomorrow at 05:00 for six people. See you then."
"[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. And to confirm, is that for [PERSON_NAME]?"
"It is, yes.","And what would you like?"
"So they are large [LOCATION] pizza, please, with fresh cutters.","Okay. And a serving of chips. Anything else?"
"That's all, thanks.","Thank you. That's 33 90. It should be ready for you to pick up in 20 minutes."
"How can I help you?","I'd like to order two large pizzas."
"Yeah, pick up or delivery?","Delivery."
"Delivery. Okay, give me 1 second. I would need your phone number. Can you give me one, please?","[PHONE_NUMBER] okay, thank you. And that's for [PERSON_NAME]. And the delivery address is [LOCATION] [LOCATION] [LOCATION], [LOCATION] [LOCATION]."
